Name,Type,Location ,Language,Link,Description,,,,,,,,,,,,,,Location / Focus (country)
Urbanist Leaders of Color (Twitter List),Resource List,United States,English,https://twitter.com/i/lists/1028055473008922625,,,,,,,,,,,,,,,United States
Anti-racism Design Resources,Resource List,United States,English,https://docs.google.com/document/d/e/2PACX-1vRkuF9o4WDiRW8v2nAPfJRttbZty5MADnFCt38PC4JPbqWMr4VrT307fzz5uAcYupTaWVwTrz-N8pUb/pub?fbclid=IwAR0pF02HeoxEOGIEFrxStTyhn4erzkI4Z_depntuUBTevHtYwJggfaYG0Xg,,,,,,,,,,,,,,,United States
Space/Race Reading List,Resource List,NA / International,English,https://docs.google.com/document/u/1/d/1p2GvScemyghCaQVkA3fDTsjqtprk7CPOryZv5-YUTkk/mobilebasic?urp=gmail_link&usp=gmail&fbclid=IwAR1yLAoSm9L0nQUGcl5F8UAJraNNfYzi99VyI_5NjiLqmd6oyqQUnOuHqvY,,,,,,,,,,,,,,,NA / Internation
The Planner's Beginner Guide to the #BlackLivesMatter Movement,Resource List,United States,English,https://www.blackandurban.com/social-urbanism/2020/6/5/the-planners-beginner-guide-to-the-blacklivesmatter-movement,,,,,,,,,,,,,,,United States
Urban Planners as Organizers Towards Liberation: a resource guide and framework,Resource List,United States,English,https://docs.google.com/document/d/1wGcdwuWLt3zO-MqYU1UIMl7422zEdIKUKEAEtOTSnzk/mobilebasic?fbclid=IwAR1JpeOiHKDzVhAJJner9jmQIV-sVIys9RNlsvzvZysZ3efyXS5WXUFdB68,,,,,,,,,,,,,,,United States
The Black Urbanist's Black Queer Feminist Urbanist Booklist,Resource List,United States,English,https://bookshop.org/lists/black-queer-feminist-urbanist-the-booklist,,,,,,,,,,,,,,,United States
The Black Urbanist's Resource List,Resource List,United States,English,https://theblackurbanist.com/resources/,,,,,,,,,,,,,,,United States
Racial Equity Tools: Community Organizing,Resource List,NA / International,English,https://www.racialequitytools.org/act/strategies/community-organizing,"General organizing and leadership resources, focusing on communities of color in leadership (and youth)",,,,,,,,,,,,,,NA / International
CityLab outline for an Urban Design course on race and justice,Resource List,United States,English,https://www.bloomberg.com/news/articles/2015-05-14/black-students-at-harvard-s-graduate-school-of-design-say-there-are-no-courses-on-race-and-justice-so-we-made-one,By Brentin Mock,searched for sources,,,,,,,,,,,,,United States
"Syllabus for Race, Poverty, and Place by Dr. Akira Drake Rodriguez",Resource List,United States,English,http://www.akirarodriguez.com/readings-in-race-place-and-poverty,,,,,,,,,,,,,,,United States
